prospect_id,company_name,email,phone,website,city,country,industry,tier,team_size,source,email_verification,date_added,notes
OSM-1788444306-0000,Ayoub Alam Mohammad,hello@valuecorp.ca,+1-416-628-4986,https://valuecorp.ca/,Toronto,CA,accounting,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=valuecorp.ca | office=accountant
OSM-1788444306-0001,Deeth & Co. LLP Chartered Accountants,hello@deethco.com,+1-905-278-7206,https://deethco.com/,Toronto,CA,accounting,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=deethco.com | office=accountant
OSM-1788444306-0002,Bryce & Brown Accounting Services,hello@thetaxman.ca,,https://www.thetaxman.ca/,Toronto,CA,accounting,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=thetaxman.ca | office=accountant
OSM-1788444306-0003,CAN-AM Accounting Services,hello@canamtax.com,,https://www.canamtax.com,Toronto,CA,accounting,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=canamtax.com | office=accountant
OSM-1788444306-0004,Teixeira Accounting Firm,hello@helpingbusinesses.com,+1-416-535-8846,http://www.helpingbusinesses.com/,Toronto,CA,accounting,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=helpingbusinesses.com | office=accountant
OSM-1788444306-0005,Jamesbridge Tax Accountants,hello@jamesbridge.ca,+1-416-232-2004,https://jamesbridge.ca/,Toronto,CA,accounting,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=jamesbridge.ca | office=accountant
OSM-1788444306-0006,Percival Group,hello@percivalgroup.com,,https://www.percivalgroup.com/,Toronto,CA,accounting,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=percivalgroup.com | office=accountant
OSM-1788444307-0007,Rago & Garofalo LLP,hello@rgcga.com,+1-416-488-6969,http://www.rgcga.com/,Toronto,CA,accounting,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=rgcga.com | office=accountant
OSM-1788444307-0008,Coppo & Company Chartered Professional Accountants,,+1 416-636-1414,http://www.coppo.ca,North York,CA,accounting,1,,osm_overpass,,2026-09-03,osm-discovery | domain=coppo.ca | office=accountant
OSM-1788444307-0009,Needs Financial Services Inc.,,+1 647-957-6648,https://www.needsfinancial.com,Toronto,CA,accounting,1,,osm_overpass,,2026-09-03,osm-discovery | domain=needsfinancial.com | office=accountant
OSM-1788444307-0010,Liquidity Curve Systems Inc,support@liquiditycurve.com,+1-647-556-5932,https://liquiditycurve.com/,Toronto,CA,accounting,1,,osm_overpass,osm_direct,2026-09-03,osm-discovery | domain=liquiditycurve.com | office=accountant
OSM-1788444307-0011,Mudhar CPA Professional Corporation,info@mudharcpa.ca,+1-416-696-6653,https://mudharcpa.ca,Toronto,CA,accounting,1,,osm_overpass,osm_direct,2026-09-03,osm-discovery | domain=mudharcpa.ca | office=accountant
OSM-1788444307-0012,MAQ CPA Professional Corporation,admin@puetzconstruction.com,+1-416-901-4126,https://maqcpa.ca/,Toronto,CA,accounting,1,,osm_overpass,osm_direct,2026-09-03,osm-discovery | domain=maqcpa.ca | office=accountant
OSM-1788444308-0013,Miranda Professional Corporation,hello@mirandaaccounting.ca,+1-905-949-0699,https://www.mirandaaccounting.ca,Toronto,CA,accounting,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=mirandaaccounting.ca | office=accountant
OSM-1788444308-0014,J&M Markandu Professional Corporation,hello@markandu.com,+1-416-363-1515,https://markandu.com/,Toronto,CA,accounting,1,,osm_overpass,mx_only_generic_guess,2026-09-03,osm-discovery | domain=markandu.com | office=accountant
OSM-1788444308-0015,Exchange Solutions Group,info@exg.ca,+1 204-943-4584,https://www.exg.ca/EXG/contact.asp,Winnipeg,CA,consulting,3,,osm_overpass,osm_direct,2026-09-03,osm-discovery | domain=exg.ca | office=consulting
