id,domain,emails_found,people_found,chosen_email
OSM-1788373380-0000,hrblock.com,,[],
OSM-1788373380-0001,blockadvisors.com,,[],
OSM-1788373380-0002,client.schwab.com,,[],
OSM-1788373380-0003,mgnyconsulting.com,,"[{'first': 'Tax', 'last': 'Director</p>', 'context': '<p class=""position"">Property Tax Director</p>'}, {'first': 'Housing', 'last': 'Director</p>', 'context': '<p class=""position"">Affordable Housing Director</p>'}, {'first': 'Tax', 'last': 'Associate', 'context': '<p class=""position"">Property Tax As",
OSM-1788373380-0004,redwhiteandbluetax.com,,[],
OSM-1788373380-0005,gotaxplus.com,,[],
OSM-1788373380-0007,rgbrenner.com,,[],
OSM-1788373380-0008,upscaleaccountingfirm.com,,[],
OSM-1788373380-0009,edwardjones.com,,[],
OSM-1788373380-0010,idrisandsonsaccountingandbusinesstaxation.com,,[],
OSM-1788373380-0011,bkltd.creativemf.com,,[],
OSM-1788373380-0012,pvttaxaccounting.com,alice@pvttaxaccounting.com,[],alice@pvttaxaccounting.com
OSM-1788373380-0013,taxterminal.com,,[],
OSM-1788373380-0014,vignyc.com,info@vignyc.com,[],info@vignyc.com
OSM-1788373380-0015,auxiliaaccounting.com,christa@auxiliaaccounting.com,[],christa@auxiliaaccounting.com
OSM-1788373380-0016,fidelity.com,,[],
OSM-1788373380-0017,atax.com,customercare@atax.com,[],customercare@atax.com
OSM-1788373380-0018,omg.re,,[],
OSM-1788373380-0019,simplepayinc.net,,[],
OSM-1788373380-0020,immigrationadvocacy.com,,[],
OSM-1788373380-0022,nhldcorp.com,,[],
OSM-1788373380-0025,libertytax.com,,[],
OSM-1788373380-0026,fairweatheraccounting.com,,[],
OSM-1788373380-0028,zapitiautoschool.com,,[],
OSM-1788373380-0029,fullpointgraphics.com,info@fullpointgraphics.com,[],info@fullpointgraphics.com
OSM-1788373380-0030,brooklynbeacon.com,,[],
OSM-1788373380-0031,afmcmoney.org,,[],
OSM-1788373380-0034,bcg.com,,[],
OSM-1788373380-0035,lipskytaxservices.com,,[],
